latitude;longitude
-7.607466;111.899897
-7.608075;111.899717
-7.620223;111.897606
-7.609021;111.898624
-7.609796;111.89883
-7.609059;111.89887
-7.609498;111.899228
-7.61051;111.898628
-7.610852;111.898972
-7.60869;111.895471
-7.609174;111.898817
-7.610727;111.898876
-7.609111;111.898767
-7.610418;111.898637
-7.609022;111.897479
-7.606085688;111.900584
-7.609371;111.899212
-7.608655;111.898511
-7.608903;111.897764
-7.598963;111.90459
-7.6036;111.893741
-7.608085;111.899356
-7.609198;111.899082
-7.609304;111.899234
-7.608509;111.899522
-7.608529;111.899511
-7.608418;111.899395
-7.608465;111.899562
-7.608626;111.899342
-7.60909;111.899374
-7.609481;111.899299
-7.60951;111.899284
-7.609447;111.899148
-7.609775;111.898954
-7.604983;111.900765
-7.608485;111.899347
-7.602166;111.904449
-7.608669;111.899303
-7.608705244;111.8997277
-7.626907;111.90806
-7.606029;111.900286
-7.605357;111.900553
-7.605395;111.900314
-7.599619;111.894674
-7.608182;111.899576
-7.608193;111.89955
-7.609213;111.899173
-7.615979;111.886186
-7.601423;111.903649
-7.601373;111.904563
-7.62506;111.896811
-7.597148;111.904565
-7.628719;111.896784
-7.609323;111.899714
-7.624385;111.90474
-7.609398;111.90967
-7.619468;111.906028
-7.623763;111.904853
-7.600021;111.914713
-7.629967;111.900763
-7.627977;111.896192
-7.609089169;111.908476
-7.620065;111.897577
-7.626785;111.898009
-7.627626;111.89546
-7.602196805;111.9047122
-7.596718;111.914866
-7.599402;111.902878
-7.59442;111.89419
-7.608386;111.898963
-7.601688;111.894468
-7.584165;111.892409
-7.600158;111.902802
-7.600012;111.921646
-7.600035;111.914352
-7.599723;111.904567
-7.598522;111.909821
-7.598726;111.909822
-7.598386;111.910089
-7.609646;111.942494
-7.608624537;111.9318753
-7.609748999;111.9380781
-7.592072652;111.9588187
-7.617862006;111.9343432
-7.626213;111.896756
-7.579082;111.911569
-7.56978;111.890723
-7.582681;111.899178
-7.56992;111.890513
-7.56833;111.887427
-7.613054;111.961435
-7.591533;111.8918011
-7.591781;111.8921821
-7.613395999;111.9657591
-7.592728;111.987612
-7.623473;111.9584621
-7.585797;111.9613351
-7.569893;111.890544
-7.569004;111.890874
-7.569668;111.890514
-7.527354304;111.951448
-7.569613;111.890755
-7.578423;111.920392
-7.539328;111.94946
-7.552131;111.951356
-7.537923;111.949457
-7.536208;111.94985
-7.545671067;111.9500856
-7.572720495;111.9252449
-7.600834387;111.9855369
-7.582815;111.935173
-7.527222;111.95143
-7.527187;111.950881
-7.573468432;111.9537787
-7.536152117;111.9496321
-7.553129035;111.9519382
-7.566199029;111.9956012
-7.571381552;111.9543363
-7.581524;111.9220151
-7.5661079;111.9734191
-7.532180734;111.9505127
-7.53565;111.949795
-7.535727;111.949809
-7.540468;111.949469
-7.554855;111.951936
-7.5740811;111.953746
-7.546577;111.950267
-7.573077;111.952243
-7.530663;111.950469
-7.583477;111.9461
-7.527628;111.951176
-7.568663;111.99796
-7.610563;111.943023
-7.613054;111.96132
-7.612710235;111.9607193
-7.611982792;111.9607665
-7.572393606;111.97352
-7.569747;111.973321
-7.592799259;111.9873744
-7.532472;111.912843
-7.583822362;111.9464528
-7.602383;111.944685
-7.591826;111.953735
-7.617108;111.930664
-7.539328;111.94936
-7.601698;111.944776
-7.602159;111.944793
-7.601995;111.944829
-7.601719;111.944523
-7.6017;111.94457
-7.601729;111.944443
-7.601876;111.944658
-7.583388;111.944553
-7.601737;111.944769
-7.601771;111.944649
-7.533081;111.962227
-7.601766;111.944891
-7.602171;111.944739
-7.601714;111.944353
-7.582755;111.938106
-7.582974;111.935784
-7.52678;111.952103
-7.579983287;111.9305788
-7.57854088;111.9284272
-7.580401433;111.9188434
-7.581286176;111.9201336
-7.58121433;111.9200622
-7.581228658;111.9211557
-7.591369059;111.9291564
-7.580247203;111.8695554
-7.57316136;111.9906162
-7.568757;111.913094
-7.574185;111.878867
-7.580738;111.874543
-7.598753;111.873026
-7.574072;111.879303
-7.574181;111.878882
-7.58642;111.878548
-7.603122;111.849183
-7.60100575;111.8587214
-7.601925933;111.8522147
-7.575124598;111.8761499
-7.609356881;111.8461097
-7.59735;111.873475
-7.581822506;111.8755485
-7.582481;111.878591
-7.583558;111.878524
-7.569022;111.84896
-7.573289;111.8790296
-7.569016;111.848976
-7.570432;111.800219
-7.607768;111.793929
-7.558564;111.80476
-7.586748;111.796452
-7.602845;111.791472
-7.559247;111.801214
-7.568756;111.849007
-7.569018;111.848806
-7.573522;111.862164
-7.568988;111.848826
-7.569152;111.849124
-7.568947;111.848897
-7.572173;111.858238
-7.582022;111.864598
-7.577821;111.861922
-7.578772;111.866991
-7.582435;111.86612
-7.56885;111.849176
-7.581786;111.863848
-7.582225;111.876063
-7.579924312;111.9110947
-7.610047;111.94237
-7.553072;111.951565
-7.535489;111.911878
-7.5849957;111.9514799
-7.583840455;111.9475755
-7.580012;111.91228
-7.61281;111.960644
-7.553075;111.951578
-7.590789997;111.9769328
-7.569426;111.9162721
-7.611761999;111.9512941
-7.596127765;111.9731711
-7.533752132;111.9504062
-7.575898;111.865864
-7.568908;111.849143
-7.57665;111.867257
-7.577196;111.86746
-7.581068;111.863131
-7.578833;111.861713
-7.585104866;111.8786898
-7.585443;111.879023
-7.573745;111.861328
-7.58598414;111.881047
-7.575120416;111.8647321
-7.581778924;111.8787438
-7.578940371;111.8437907
-7.574754;111.879287
-7.542107;111.843852
-7.555086;111.86255
-7.569349;111.879474
-7.569396;111.879339
-7.560184;111.870098
-7.556768;111.86239
-7.570464;111.879646
-7.574086;111.879306
-7.574141;111.879383
-7.569425;111.879617
-7.569449;111.879383
-7.541943;111.843063
-7.571804;111.879689
-7.552532;111.860144
-7.564852;111.876729
-7.571593;111.879662
-7.570231;111.876808
-7.56671;111.876711
-7.569465;111.879747
-7.550458;111.858443
-7.560106;111.87418
-7.583362;111.878515
-7.541384;111.842238
-7.568812;111.876382
-7.556437;111.861425
-7.582357;111.877816
-7.586325;111.795256
-7.574179;111.878985
-7.573367;111.879392
-7.586661;111.878276
-7.586106;111.878633
-7.563581;111.892805
-7.608861;111.933094
-7.618304;111.934922
-7.60959;111.93112
-7.601707;111.944341
-7.584231;111.952536
